id,name,web_name,surname_key,team,position,status,now_cost,total_points,minutes,goals_scored,assists,TotalShots,ShotsOnTarget,Passes,AccuratePasses,FirstHalfShots
516,Callum Hudson-Odoi,Hudson-Odoi,odoi,Nott'm Forest,MID,d,58,22,567,1,0,,,,,
517,Elliot Anderson,Anderson,anderson,Nott'm Forest,MID,a,53,41,990,1,1,,,787.0,683.0,
518,João Pedro Ferreira da Silva,Jota,jota,Nott'm Forest,MID,u,54,1,11,0,0,,,,,
519,Nicolás Domínguez,Dominguez,dominguez,Nott'm Forest,MID,a,50,2,110,0,0,,,,,
520,Lewis O'Brien,O'Brien,brien,Nott'm Forest,MID,u,50,0,0,0,0,,,,,
521,Ibrahim Sangaré,Sangaré,sangare,Nott'm Forest,MID,a,49,18,500,1,0,,,,,
522,Ryan Yates,Yates,yates,Nott'm Forest,MID,a,47,11,240,0,1,,,,,
523,Eric da Silva Moreira,Da Silva Moreira,moreira,Nott'm Forest,MID,u,45,0,0,0,0,,,,,
524,Marko Stamenić,Stamenic,stamenic,Nott'm Forest,MID,u,45,0,0,0,0,,,,,
525,Chris Wood,Wood,wood,Nott'm Forest,FWD,d,72,25,538,2,0,16.0,6.0,,,
526,Igor Jesus Maciel da Cruz,Igor Jesus,jesus,Nott'm Forest,FWD,a,58,14,326,0,1,,,,,
527,Taiwo Awoniyi,Awoniyi,awoniyi,Nott'm Forest,FWD,a,52,4,133,0,0,,,,,
669,Dan Ndoye,Ndoye,ndoye,Nott'm Forest,MID,a,57,32,755,1,2,,,,,
675,Angus Gunn,Gunn,gunn,Nott'm Forest,GKP,i,40,0,0,0,0,,,,,
693,Omari Hutchinson,Hutchinson,hutchinson,Nott'm Forest,MID,a,54,13,128,0,2,,,,,
696,Arnaud Kalimuendo,Kalimuendo,kalimuendo,Nott'm Forest,FWD,a,60,6,66,0,0,,,,,
699,Douglas Luiz Soares de Paulo,Douglas Luiz,luiz,Nott'm Forest,MID,i,50,7,185,0,1,,,,,
715,John Victor Maciel Furtado,John,john,Nott'm Forest,GKP,a,40,0,0,0,0,,,,,
716,Nicolò Savona,Savona,savona,Nott'm Forest,DEF,a,45,12,429,1,0,,,,,
729,Luis Eduardo Soares da Silva,Cuiabano,cuiabano,Nott'm Forest,DEF,u,45,0,0,0,0,,,,,
734,Dilane Bakwa,Bakwa,bakwa,Nott'm Forest,MID,i,60,5,172,0,0,,,,,
528,Anthony Patterson,Patterson,patterson,Sunderland,GKP,a,43,0,0,0,0,,,,,
529,Simon Moore,Moore,moore,Sunderland,GKP,a,39,0,0,0,0,,,,,
530,Blondy Nna Noukeu,Nna Noukeu,noukeu,Sunderland,GKP,a,39,0,0,0,0,,,,,
531,Daniel Ballard,Ballard,ballard,Sunderland,DEF,a,46,49,579,2,1,,,,,8.0
532,Trai Hume,Hume,hume,Sunderland,DEF,a,45,41,978,0,1,,,,,
533,Aji Alese,Alese,alese,Sunderland,DEF,d,40,0,0,0,0,,,,,
534,Joe Anderson,Anderson,anderson,Sunderland,DEF,a,39,0,0,0,0,,,787.0,683.0,
535,Dennis Cirkin,Cirkin,cirkin,Sunderland,DEF,d,40,0,0,0,0,,,,,
536,Leo Fuhr Hjelde,Hjelde,hjelde,Sunderland,DEF,d,40,0,0,0,0,,,,,
537,Niall Huggins,Huggins,huggins,Sunderland,DEF,u,40,0,0,0,0,,,,,
538,Zak Johnson,Johnson,johnson,Sunderland,DEF,a,39,0,0,0,0,,,,,
539,Luke O'Nien,O'Nien,nien,Sunderland,DEF,a,40,0,0,0,0,,,,,
540,Timothée Pembélé,Pembele,pembele,Sunderland,DEF,a,39,0,0,0,0,,,,,
541,Reinildo Mandava,Reinildo,reinildo,Sunderland,DEF,a,40,18,662,0,0,,,,,
542,Jenson Seelt,Seelt,seelt,Sunderland,DEF,u,40,2,133,0,0,,,,,
543,Simon Adingra,Adingra,adingra,Sunderland,MID,a,51,14,297,0,1,,,,,
544,Habib Diarra,Diarra,diarra,Sunderland,MID,i,53,12,345,0,1,,,,,
545,Patrick Roberts,Roberts,roberts,Sunderland,MID,u,54,1,27,0,0,,,,,
546,Milan Aleksić,Aleksić,aleksic,Sunderland,MID,u,49,0,0,0,0,,,,,
547,Enzo Le Fée,E.Le Fée,fee,Sunderland,MID,a,49,34,692,1,1,,,,,
548,Romaine Mundle,Mundle,mundle,Sunderland,MID,i,49,0,0,0,0,,,,,
549,Dan Neil,Neil,neil,Sunderland,MID,a,48,2,2,0,0,,,,,
550,Ian Poveda-Ocampo,Poveda,poveda,Sunderland,MID,a,48,0,0,0,0,,,,,
551,Chris Rigg,Rigg,rigg,Sunderland,MID,a,48,8,186,0,0,,,,,
552,Noah Sadiki,Sadiki,sadiki,Sunderland,MID,a,50,26,983,0,0,,,,,
553,Chemsdine Talbi,Talbi,talbi,Sunderland,MID,a,50,34,587,1,2,,,,,
554,Abdoullah Ba,Ba,ba,Sunderland,MID,a,43,0,0,0,0,,,,,
555,Alan Browne,Browne,browne,Sunderland,MID,u,45,0,0,0,0,,,,,
556,Pierre Ekwah Elimby,Ekwah,ekwah,Sunderland,MID,u,45,0,0,0,0,,,,,
557,Harrison Jones,H.Jones,jones,Sunderland,MID,a,44,0,0,0,0,,,,,
558,Jay Matete,Matete,matete,Sunderland,MID,a,44,0,0,0,0,,,,,
559,Nectarios Triantis,Triantis,triantis,Sunderland,MID,u,44,0,0,0,0,,,,,
560,Wilson Isidor,Isidor,isidor,Sunderland,FWD,a,56,41,670,4,0,24.0,7.0,,,9.0
561,Eliezer Mayenda Dossou,Mayenda,mayenda,Sunderland,FWD,a,54,16,260,1,0,,,,,
562,Ahmed Abdullahi,Abdullahi,abdullahi,Sunderland,FWD,a,43,0,0,0,0,,,,,
563,Luís Hemir Silva Semedo,Luís Hemir,hemir,Sunderland,FWD,u,44,0,0,0,0,,,,,
564,Nazarii Rusyn,Rusyn,rusyn,Sunderland,FWD,u,44,0,0,0,0,,,,,
668,Granit Xhaka,Xhaka,xhaka,Sunderland,MID,a,51,52,990,1,3,,,592.0,494.0,
670,Robin Roefs,Roefs,roefs,Sunderland,GKP,a,47,56,990,0,0,,,,,
678,Arthur Masuaku,Masuaku,masuaku,Sunderland,DEF,a,39,1,125,0,0,,,,,
683,Omar Alderete,Alderete,alderete,Sunderland,DEF,i,41,45,667,1,1,,,,,
694,Nordi Mukiele,Mukiele,mukiele,Sunderland,DEF,a,42,51,810,1,1,,,,,
724,Lutsharel Geertruida,Geertruida,geertruida,Sunderland,DEF,a,45,10,337,0,0,,,,,
730,Brian Brobbey,Brobbey,brobbey,Sunderland,FWD,a,55,13,106,1,1,,,,,
735,Bertrand Traoré,Traoré,traore,Sunderland,MID,a,55,13,358,0,1,,,,,8.0
565,Guglielmo Vicario,Vicario,vicario,Spurs,GKP,a,50,47,990,0,0,,,,,
566,Brandon Austin,Austin,austin,Spurs,GKP,a,39,0,0,0,0,,,,,
567,Antonín Kinský,Kinsky,kinsky,Spurs,GKP,a,39,0,0,0,0,,,,,
568,Pedro Porro Sauceda,Pedro Porro,porro,Spurs,DEF,a,55,46,863,0,2,,,452.0,,
569,Cristian Romero,Romero,romero,Spurs,DEF,a,50,34,747,0,1,,,500.0,446.0,
570,Kevin Danso,Danso,danso,Spurs,DEF,a,43,12,257,0,0,,,,,
571,Ben Davies,Davies,davies,Spurs,DEF,i,43,0,0,0,0,,,,,
572,Radu Drăgușin,Dragusin,dragusin,Spurs,DEF,i,45,0,0,0,0,,,,,
573,Djed Spence,Spence,spence,Spurs,DEF,a,45,31,758,0,0,,,,,
574,Destiny Udogie,Udogie,udogie,Spurs,DEF,a,44,12,341,0,1,,,,,
575,Micky van de Ven,Van de Ven,ven,Spurs,DEF,a,48,58,979,3,0,,,653.0,601.0,
576,Ashley Phillips,Phillips,phillips,Spurs,DEF,u,40,0,0,0,0,,,,,
577,Takai Kōta,Takai,takai,Spurs,DEF,i,40,0,0,0,0,,,,,
578,Luka Vušković,Vuskovic,vuskovic,Spurs,DEF,u,39,0,0,0,0,,,,,
579,Son Heung-min,Son,son,Spurs,MID,u,85,0,0,0,0,,,,,
580,Brennan Johnson,Johnson,johnson,Spurs,MID,a,67,28,467,2,0,,,,,
581,James Maddison,Maddison,maddison,Spurs,MID,i,69,0,0,0,0,,,,,
582,Mohammed Kudus,Kudus,kudus,Spurs,MID,d,65,45,875,1,5,17.0,6.0,,,7.0
583,Dejan Kulusevski,Kulusevski,kulusevski,Spurs,MID,i,64,0,0,0,0,,,,,
584,Mathys Tel,Tel,tel,Spurs,MID,a,63,23,246,2,0,,,,,
585,Rodrigo Bentancur,Bentancur,bentancur,Spurs,MID,a,53,35,655,1,1,,,,,
586,Lucas Bergvall,Bergvall,bergvall,Spurs,MID,i,54,24,409,1,1,,,,,
587,Yves Bissouma,Bissouma,bissouma,Spurs,MID,i,52,0,0,0,0,,,,,
588,Wilson Odobert,Odobert,odobert,Spurs,MID,a,53,19,376,0,1,,,,,
589,Manor Solomon,Solomon,solomon,Spurs,MID,u,54,0,0,0,0,,,,,
590,Bryan Gil Salvatierra,Bryan,bryan,Spurs,MID,u,49,0,0,0,0,,,,,
591,Archie Gray,Gray,gray,Spurs,MID,i,48,4,71,0,0,,,,,
592,Mikey Moore,Moore,moore,Spurs,MID,u,50,0,0,0,0,,,,,
593,Pape Matar Sarr,P.M.Sarr,sarr,Spurs,MID,a,48,37,570,2,2,,,,,9.0
594,Yang Min-hyeok,Min-hyeok,hyeok,Spurs,MID,u,45,0,0,0,0,,,,,
595,Callum Olusesi,Olusesi,olusesi,Spurs,MID,a,44,0,0,0,0,,,,,
596,Dominic Solanke-Mitchell,Solanke,solanke,Spurs,FWD,i,72,2,31,0,0,,,,,
597,Richarlison de Andrade,Richarlison,richarlison,Spurs,FWD,a,64,44,631,4,2,20.0,7.0,,,
598,Will Lankshear,Lankshear,lankshear,Spurs,FWD,u,45,0,0,0,0,,,,,
599,Dane Scarlett,Scarlett,scarlett,Spurs,FWD,a,43,0,0,0,0,,,,,
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,J.Palhinha,palhinha,Spurs,MID,a,55,51,861,2,1,,,,,
717,Xavi Simons,Xavi,xavi,Spurs,MID,a,67,20,530,0,1,,,,,
726,Randal Kolo Muani,Kolo Muani,muani,Spurs,FWD,a,69,6,189,0,0,,,,,
745,Jun'ai Byfield,Byfield,byfield,Spurs,DEF,a,40,0,0,0,0,,,,,
750,James Rowswell,Rowswell,rowswell,Spurs,DEF,a,40,0,0,0,0,,,,,
751,Yusuf Akhamrich,Akhamrich,akhamrich,Spurs,MID,a,45,0,0,0,0,,,,,
149,Igor Julio dos Santos de Paulo,Igor,igor,West Ham,DEF,a,45,3,13,0,0,,,,,
600,Alphonse Areola,Areola,areola,West Ham,GKP,a,43,15,630,0,0,,,,,
601,Wes Foderingham,Foderingham,foderingham,West Ham,GKP,u,40,0,0,0,0,,,,,
602,Krisztián Hegyi,Hegyi,hegyi,West Ham,GKP,a,39,0,0,0,0,,,,,
603,El Hadji Malick Diouf,Diouf,diouf,West Ham,DEF,a,43,31,945,0,4,,,,,
604,Emerson Palmieri dos Santos,Emerson,emerson,West Ham,DEF,u,44,0,0,0,0,,,,,
605,Maximilian Kilman,Kilman,kilman,West Ham,DEF,a,43,20,990,0,0,,,465.0,416.0,
606,Konstantinos Mavropanos,Mavropanos,mavropanos,West Ham,DEF,i,44,17,495,0,0,,,,,
607,Nayef Aguerd,N.Aguerd,aguerd,West Ham,DEF,u,44,3,180,0,0,,,,,
608,Ollie Scarles,Scarles,scarles,West Ham,DEF,i,44,1,69,0,0,,,,,
609,Jean-Clair Todibo,Todibo,todibo,West Ham,DEF,a,43,7,486,0,0,,,,,
610,Aaron Wan-Bissaka,Wan-Bissaka,bissaka,West Ham,DEF,a,43,14,561,0,1,,,,,
611,Kaelan Casey,Casey,casey,West Ham,DEF,u,40,0,0,0,0,,,,,
612,Lucas Tolentino Coelho de Lima,L.Paquetá,paqueta,West Ham,MID,s,59,45,959,3,1,16.0,7.0,518.0,406.0,8.0
613,Tomáš Souček,Souček,soucek,West Ham,MID,a,57,26,422,2,1,,7.0,,,
614,James Ward-Prowse,Ward-Prowse,prowse,West Ham,MID,a,56,11,414,0,0,,,,,
615,Crysencio Summerville,Summerville,summerville,West Ham,MID,a,55,23,639,0,3,,,,,
616,Edson Álvarez Velázquez,Álvarez,alvarez,West Ham,MID,u,49,0,0,0,0,,,,,
617,Maxwel Cornet,Cornet,cornet,West Ham,MID,u,49,0,0,0,0,,,,,
618,Guido Rodríguez,G.Rodriguez,rodriguez,West Ham,MID,a,48,3,89,0,0,,,,,
619,Luis Guilherme Lira dos Santos,L.Guilherme,guilherme,West Ham,MID,a,49,3,54,0,0,,,,,
620,George Earthy,Earthy,earthy,West Ham,MID,i,45,0,0,0,0,,,,,
621,Andy Irving,Irving,irving,West Ham,MID,a,44,8,149,0,0,,,,,
622,Lewis Orford,Orford,orford,West Ham,MID,u,44,0,0,0,0,,,,,
623,Freddie Potts,Potts,potts,West Ham,MID,a,44,10,282,0,0,,,,,
624,Jarrod Bowen,Bowen,bowen,West Ham,FWD,a,77,46,990,3,1,26.0,12.0,,,10.0
625,Niclas Füllkrug,Füllkrug,fullkrug,West Ham,FWD,i,56,10,379,0,0,,,,,
626,Callum Marshall,Marshall,marshall,West Ham,FWD,a,44,2,58,0,0,,,,,
659,Kyle Walker-Peters,Walker-Peters,peters,West Ham,DEF,a,43,21,465,1,0,,,,,
671,Callum Wilson,Wilson,wilson,West Ham,FWD,a,58,22,365,2,0,19.0,8.0,,,11.0
679,Mads Hermansen,Hermansen,hermansen,West Ham,GKP,a,44,9,360,0,0,,,,,
708,Mateus Gonçalo Espanha Fernandes,M.Fernandes,fernandes,West Ham,MID,a,55,28,642,1,1,25.0,8.0,623.0,513.0,12.0
718,Soungoutou Magassa,S.Magassa,magassa,West Ham,MID,a,50,6,189,0,0,,,,,
738,Lukasz Fabianski,Fabianski,fabianski,West Ham,GKP,d,45,0,0,0,0,,,,,
747,Ezra Mayers,Mayers,mayers,West Ham,DEF,a,40,0,0,0,0,,,,,
752,Airidas Golambeckis,Golambeckis,golambeckis,West Ham,DEF,a,40,0,0,0,0,,,,,
627,Sam Johnstone,Johnstone,johnstone,Wolves,GKP,a,45,15,630,0,0,,,,,
628,José Malheiro de Sá,José Sá,sa,Wolves,GKP,a,43,5,360,0,0,,,,,
629,Daniel Bentley,Bentley,bentley,Wolves,GKP,a,40,0,0,0,0,,,,,
631,Emmanuel Agbadou,Agbadou,agbadou,Wolves,DEF,a,43,11,560,0,0,,,,,
632,Matt Doherty,Doherty,doherty,Wolves,DEF,i,44,2,291,0,0,,,,,
633,Hugo Bueno López,H.Bueno,bueno,Wolves,DEF,a,44,21,792,0,0,,,,,
634,Yerson Mosquera Valdelamar,Mosquera,mosquera,Wolves,DEF,a,43,1,182,0,0,,,,,
635,Rodrigo Martins Gomes,R.Gomes,gomes,Wolves,DEF,i,45,13,331,1,0,,,,,
636,Santiago Ignacio Bueno,S.Bueno,bueno,Wolves,DEF,a,44,25,664,1,1,,,,,
637,Toti Gomes,Toti,toti,Wolves,DEF,a,43,6,525,0,0,,,,,
638,Ki-Jana Hoever,Hoever,hoever,Wolves,DEF,a,39,5,249,0,0,,,,,
639,Bastien Meupiyou Menadjou,Meupiyou,meupiyou,Wolves,DEF,u,40,0,0,0,0,,,,,
640,Pedro Cardoso de Lima,Pedro Lima,lima,Wolves,DEF,u,40,0,0,0,0,,,,,
641,Alfie Pond,Pond,pond,Wolves,DEF,a,39,0,0,0,0,,,,,
642,Hwang Hee-chan,Hee Chan,chan,Wolves,MID,a,58,16,366,1,0,,,,,
643,André Trindade da Costa Neto,André,andre,Wolves,MID,a,53,25,703,0,0,,,,,
644,Jean-Ricner Bellegarde,Bellegarde,bellegarde,Wolves,MID,a,52,13,474,0,0,,,,,
645,Fer López González,Fer López,lopez,Wolves,MID,a,52,7,116,0,1,,,,,
646,João Victor Gomes da Silva,Gomes,gomes,Wolves,MID,a,53,24,835,0,0,,,,,
647,Gonçalo Manuel Ganchinho Guedes,Guedes,guedes,Wolves,MID,u,55,0,0,0,0,,,,,
648,Marshall Munetsi,Munetsi,munetsi,Wolves,MID,a,54,35,802,1,2,,,,,
649,Boubacar Traoré,B.Traore,traore,Wolves,MID,u,50,0,0,0,0,,,,,8.0
650,Tawanda Chirewa,Chirewa,chirewa,Wolves,MID,a,44,0,0,0,0,,,,,
651,Tom Edozie,Edozie,edozie,Wolves,MID,a,44,0,0,0,0,,,,,
652,Enso González Medina,Gonzalez,gonzalez,Wolves,MID,a,44,0,0,0,0,,,522.0,468.0,
653,Joe Hodge,Hodge,hodge,Wolves,MID,u,45,0,0,0,0,,,,,
654,Jørgen Strand Larsen,Strand Larsen,larsen,Wolves,FWD,a,63,21,707,1,0,,,,,
655,Fábio Soares Silva,Fábio Silva,silva,Wolves,FWD,u,49,0,0,0,0,,,,,
656,Saša Kalajdžić,Kalajdžić,kalajdzic,Wolves,FWD,u,49,1,14,0,0,,,,,
657,Leon Chiwome,Chiwome,chiwome,Wolves,FWD,i,44,0,0,0,0,,,,,
658,Nathan Fraser,Fraser,fraser,Wolves,FWD,a,44,0,0,0,0,,,,,
663,Jhon Arias,J.Arias,arias,Wolves,MID,a,51,19,545,0,0,,,,,
682,David Møller Wolfe,Møller Wolfe,wolfe,Wolves,DEF,a,44,8,149,0,1,,,,,
695,Jackson Tchatchoua,Tchatchoua,tchatchoua,Wolves,DEF,a,45,14,517,0,0,,,,,
709,Ladislav Krejcí,Krejčí,krejci,Wolves,DEF,a,45,17,720,1,1,,,455.0,394.0,
720,Tolu Arokodare,Tolu,tolu,Wolves,FWD,a,55,9,208,0,0,,,,,
749,Mateus Mané,Mané,mane,Wolves,FWD,a,45,1,20,0,0,,,,,
